DBA,BORO,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION DESCRIPTION,CRITICAL FLAG,GRADE,GRADE DATE,INSPECTION TYPE
NEDERLANDER THEATER BA,Manhattan,WEST   41 STREET,10036,2123544624,American,02/23/2016,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/23/2016,Cycle Inspection / Initial Inspection
AMC THEATRES,Manhattan,WEST   42 STREET,10036,2123982597,American,05/21/2016,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/21/2016,Cycle Inspection / Initial Inspection
CIRCLE IN THE SQUARE THEATRE,Manhattan,BROADWAY,10019,2126641591,American,11/18/2016,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,11/18/2016,Cycle Inspection / Initial Inspection
LUNT FONTANNE THEATER,Manhattan,WEST   46 STREET,10036,2123544624,American,05/03/2017,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/03/2017,Cycle Inspection / Initial Inspection
DOUX,Manhattan,WEST   21 STREET,10010,2123678300,American,07/20/2017,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,07/20/2017,Cycle Inspection / Initial Inspection
AMERICAN AIRLINES THEATER,Manhattan,WEST   42 STREET,10036,2125825472,American,08/09/2017,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,08/09/2017,Cycle Inspection / Initial Inspection
SOMBRERO MEXICAN RESTAURANT,Manhattan,WEST   48 STREET,10036,2125864853,Mexican,08/17/2017,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,08/17/2017,Cycle Inspection / Initial Inspection
FASSST CAFE (SECOND STAGE THEATRE),Manhattan,WEST   43 STREET,10036,2127878302,American,09/26/2017,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,09/26/2017,Cycle Inspection / Initial Inspection
COLUMBUS CITIZENS FOUNDATION,Manhattan,EAST   69 STREET,10021,2122499923,Italian,12/06/2017,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,12/06/2017,Cycle Inspection / Initial Inspection
SASABUNE EXPRESS NEW YORK,Manhattan,EAST   59 STREET,10022,2125888998,Japanese,12/13/2017,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,12/13/2017,Cycle Inspection / Initial Inspection
